timestamp_utc,engine,symbol,reason,score,metrics
2026-05-06T19:58:24.407744+00:00,orderflow,ZECUSDT,early_score_too_low,2.3,early_score=2.3 | support_dist_bps=120.92 | imbalance=-0.125 | bid_persistence=0.0 | support_holds=0 | compression_ratio=0.407
2026-05-06T19:58:25.342058+00:00,orderflow,LABUSDT,trade_notional_too_low,,tape_total=13678.5 | min=30000.0
2026-05-06T19:58:25.975368+00:00,orderflow,XRPUSDT,early_score_too_low,3.1,early_score=3.1 | support_dist_bps=36.93 | imbalance=-0.004 | bid_persistence=0.0 | support_holds=5 | compression_ratio=0.564
2026-05-06T19:58:26.883962+00:00,orderflow,DOGEUSDT,early_score_too_low,2.0,early_score=2.0 | support_dist_bps=38.67 | imbalance=0.06 | bid_persistence=0.0 | support_holds=7 | compression_ratio=0.721
2026-05-06T19:58:27.258316+00:00,orderflow,HYPEUSDT,trade_notional_too_low,,tape_total=3640.02 | min=30000.0
2026-05-06T19:58:27.799591+00:00,orderflow,WIFUSDT,trade_notional_too_low,,tape_total=2214.15 | min=30000.0
2026-05-06T19:58:28.169988+00:00,orderflow,TAOUSDT,trade_notional_too_low,,tape_total=9341.89 | min=30000.0
2026-05-06T19:58:29.108770+00:00,orderflow,FARTCOINUSDT,trade_notional_too_low,,tape_total=10339.68 | min=30000.0
2026-05-06T19:58:29.552987+00:00,orderflow,ADAUSDT,trade_notional_too_low,,tape_total=1337.69 | min=30000.0
2026-05-06T19:58:29.963682+00:00,orderflow,NEARUSDT,trade_notional_too_low,,tape_total=6405.29 | min=30000.0
2026-05-06T19:58:30.340428+00:00,orderflow,SUIUSDT,trade_notional_too_low,,tape_total=833.4 | min=30000.0
2026-05-06T19:58:30.729177+00:00,orderflow,CLUSDT,trade_notional_too_low,,tape_total=824.45 | min=30000.0
2026-05-06T19:58:31.104523+00:00,orderflow,ENAUSDT,trade_notional_too_low,,tape_total=5674.48 | min=30000.0
2026-05-06T19:58:31.476059+00:00,orderflow,ICPUSDT,trade_notional_too_low,,tape_total=608.15 | min=30000.0
2026-05-06T19:58:32.274102+00:00,orderflow,DASHUSDT,trade_notional_too_low,,tape_total=2043.46 | min=30000.0
2026-05-06T19:58:55.528978+00:00,orderflow,BTCUSDT,stale_book,,age_sec=22.46
2026-05-06T19:58:55.901542+00:00,orderflow,ETHUSDT,stale_book,,age_sec=22.83
2026-05-06T19:58:56.268249+00:00,orderflow,SOLUSDT,stale_book,,age_sec=23.2
2026-05-06T19:58:56.648883+00:00,orderflow,TONUSDT,stale_book,,age_sec=23.58
2026-05-06T19:58:57.044587+00:00,orderflow,ZECUSDT,stale_book,,age_sec=24.15
2026-05-06T19:58:57.409056+00:00,orderflow,LABUSDT,stale_book,,age_sec=24.34
2026-05-06T19:58:57.785805+00:00,orderflow,XRPUSDT,stale_book,,age_sec=24.72
2026-05-06T19:58:58.150908+00:00,orderflow,DOGEUSDT,stale_book,,age_sec=25.08
2026-05-06T19:58:58.654542+00:00,orderflow,HYPEUSDT,stale_book,,age_sec=25.88
2026-05-06T19:58:59.052115+00:00,orderflow,WIFUSDT,stale_book,,age_sec=26.15
2026-05-06T19:58:59.440542+00:00,orderflow,TAOUSDT,stale_book,,age_sec=26.38
2026-05-06T19:58:59.799848+00:00,orderflow,FARTCOINUSDT,stale_book,,age_sec=26.73
2026-05-06T19:59:00.168051+00:00,orderflow,ADAUSDT,stale_book,,age_sec=27.1
2026-05-06T19:59:00.558832+00:00,orderflow,NEARUSDT,stale_book,,age_sec=27.66
2026-05-06T19:59:00.928885+00:00,orderflow,SUIUSDT,stale_book,,age_sec=27.86
2026-05-06T19:59:01.738661+00:00,orderflow,CLUSDT,stale_book,,age_sec=28.67
2026-05-06T19:59:02.905387+00:00,orderflow,ENAUSDT,stale_book,,age_sec=30.01
2026-05-06T19:59:03.266707+00:00,orderflow,ICPUSDT,stale_book,,age_sec=30.49
2026-05-06T19:59:03.994797+00:00,orderflow,DASHUSDT,stale_book,,age_sec=31.05
2026-05-06T19:59:16.383120+00:00,orderflow,BTCUSDT,trade_notional_too_low,,tape_total=17101.19 | min=30000.0
2026-05-06T19:59:16.781595+00:00,orderflow,ETHUSDT,early_score_too_low,2.6,early_score=2.6 | support_dist_bps=32.62 | imbalance=-0.53 | bid_persistence=0.0 | support_holds=7 | compression_ratio=0.614
2026-05-06T19:59:17.543917+00:00,orderflow,SOLUSDT,early_score_too_low,2.3,early_score=2.3 | support_dist_bps=45.59 | imbalance=-0.152 | bid_persistence=0.0 | support_holds=2 | compression_ratio=0.643
2026-05-06T19:59:18.604690+00:00,orderflow,TONUSDT,trade_notional_too_low,,tape_total=1477.51 | min=30000.0
2026-05-06T19:59:19.009491+00:00,orderflow,ZECUSDT,trade_notional_too_low,,tape_total=7183.73 | min=30000.0
2026-05-06T19:59:19.936023+00:00,orderflow,LABUSDT,early_score_too_low,2.6,early_score=2.6 | support_dist_bps=268.95 | imbalance=0.369 | bid_persistence=0.0 | support_holds=0 | compression_ratio=0.337
2026-05-06T19:59:23.495260+00:00,orderflow,DOGEUSDT,trade_notional_too_low,,tape_total=3321.64 | min=30000.0
2026-05-06T19:59:24.023532+00:00,orderflow,HYPEUSDT,trade_notional_too_low,,tape_total=3054.68 | min=30000.0
